,Unnamed: 0,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Defender_rating,home_Defender_rating,away_Attacker_rating,home_Attacker_rating,away_Goalkeeper_rating,home_Goalkeeper_rating,away_Midfielder_rating,home_Midfielder_rating,HEAD_2_HEAD_HOME_TEAM_WINS,HEAD_2_HEAD_HOME_TEAM_LOSS,HEAD_2_HEAD_DRAW,HOME_WIN_RATE,HOME_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE,AWAY_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE_AT_THIS_GROUND
17209,21191,1726191,8597,9800,2014/2015,2015-03-14,HOME_WIN,58.66666666666666,59.0,65.0,62.33333333333334,60.0,63.0,63.66666666666666,63.25,0.4090909090909091,0.36363636363636365,0.22727272727272727,0.3302752293577982,0.46153846153846156,0.17592592592592593,0.4166666666666667,0.3076923076923077
17210,21192,1726192,8426,8467,2014/2015,2015-03-14,HOME_WIN,63.75,62.5,66.0,63.5,66.0,61.0,63.8,62.0,0.0,0.25,0.75,0.13793103448275862,0.2,0.30927835051546393,0.3333333333333333,0.5
17211,21193,1726031,8485,9800,2014/2015,2014-09-30,DRAW,0.0,66.0,59.33333333333334,66.33333333333333,66.0,65.0,62.14285714285714,65.2,0.4117647058823529,0.23529411764705882,0.35294117647058826,0.3979591836734694,0.75,0.15151515151515152,0.3333333333333333,0.0
17212,21194,1726032,9925,9938,2014/2015,2014-08-16,HOME_WIN,61.0,70.0,68.0,72.33333333333333,60.0,77.0,65.66666666666667,68.66666666666667,0.6818181818181818,0.045454545454545456,0.2727272727272727,0.7821782178217822,,0.3333333333333333,1.0,0.0
17213,21195,1726033,8284,8426,2014/2015,2014-08-16,DRAW,59.66666666666666,55.5,60.0,58.5,61.0,62.0,60.66666666666666,62.0,,,,0.2,0.0,0.35294117647058826,,
17214,21196,1726034,8429,8467,2014/2015,2014-08-16,HOME_WIN,64.0,57.75,62.5,62.5,66.0,61.0,61.25,57.5,0.4,0.4,0.2,0.2777777777777778,0.0,0.3058823529411765,,0.3333333333333333
17215,21197,1726035,9927,8066,2014/2015,2014-08-16,AWAY_WIN,65.75,58.4,71.0,62.0,64.0,58.0,59.8,63.33333333333334,0.6428571428571429,0.21428571428571427,0.14285714285714285,0.45263157894736844,1.0,0.31645569620253167,1.0,0.14285714285714285
17216,21199,1726193,9925,9938,2014/2015,2015-03-21,HOME_WIN,61.75,71.0,68.0,70.5,66.0,74.0,60.8,72.25,0.6666666666666666,0.08333333333333333,0.25,0.7739130434782608,0.7142857142857143,0.33636363636363636,0.4166666666666667,0.0
17217,21200,1726194,8284,8485,2014/2015,2015-03-21,DRAW,64.66666666666667,56.5,68.5,64.0,65.0,62.0,65.4,61.28571428571429,0.0,0.75,0.25,0.2,0.18181818181818182,0.2972972972972973,0.6428571428571429,0.6666666666666666
17218,21201,1726195,9927,8429,2014/2015,2015-03-20,HOME_WIN,59.0,60.75,61.5,57.0,64.0,63.0,58.4,65.0,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.42592592592592593,0.2857142857142857,0.3,0.38461538461538464,0.4
