,match_api_id,HOME_DRAW_RATE,HOME_DRAW_RATE_THIS_SEASON,AWAY_DRAW_RATE,AWAY_DRAW_RATE_THIS_SEASON,AWAY_DRAW_RATE_AT_THIS_GROUND
106,665345,1.0,1.0,0.0,0.0,
107,665346,0.0,0.0,0.0,0.0,
108,665349,1.0,1.0,0.0,0.0,
109,665352,0.0,0.0,0.6666666666666666,1.0,
110,665353,0.5,1.0,,,
111,665354,0.2,0.5,0.0,0.0,0.0
112,665357,0.0,0.0,0.3333333333333333,0.5,
113,665360,0.5,1.0,0.5,1.0,
114,665361,0.5,0.5,0.25,1.0,
115,665362,0.0,,0.0,0.0,
116,665364,0.75,0.5,1.0,1.0,
117,665366,0.0,0.0,0.3333333333333333,,
118,665368,0.5,0.5,0.0,0.0,
119,665370,0.16666666666666666,0.3333333333333333,0.25,0.3333333333333333,
120,665374,0.16666666666666666,0.3333333333333333,1.0,1.0,
121,665376,1.0,1.0,0.75,1.0,
122,665380,0.3333333333333333,0.5,0.0,0.0,
123,665384,0.6666666666666666,0.6666666666666666,0.4,0.6666666666666666,
124,665385,0.0,0.0,0.0,0.0,
125,665393,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,
126,665396,0.2857142857142857,0.5,0.5,0.5,
127,665402,0.14285714285714285,0.25,0.0,0.0,
128,665405,0.0,0.0,0.6,0.6666666666666666,
129,838468,0.1111111111111111,,0.2,,0.0
130,838473,0.125,,,,
131,838476,0.375,,0.2222222222222222,,1.0
132,838581,0.25,0.25,0.25,0.0,0.0
133,838582,0.3333333333333333,0.5,0.15384615384615385,0.3333333333333333,0.0
134,838585,0.25,0.0,0.14285714285714285,0.0,0.0
135,838586,0.08333333333333333,0.0,0.2,0.2,
136,838587,0.3333333333333333,0.6666666666666666,0.3,0.3333333333333333,0.0
137,838588,1.0,1.0,0.2857142857142857,0.5,
138,838590,0.125,0.0,0.5,0.0,
139,838591,0.2727272727272727,0.0,0.3125,0.0,0.0
140,838593,0.2857142857142857,0.5,,,
141,838594,0.4,0.25,0.15789473684210525,0.0,1.0
142,838596,0.0,0.0,0.14285714285714285,0.25,
143,838597,0.2222222222222222,0.3333333333333333,0.0,0.0,
144,838598,0.15,0.25,0.14285714285714285,0.25,0.0
145,838599,0.14285714285714285,0.2,0.18181818181818182,0.25,0.0
146,838600,0.3076923076923077,0.3333333333333333,0.2222222222222222,0.0,
147,838603,0.23076923076923078,0.0,0.15,0.0,0.0
148,838604,0.07692307692307693,0.0,0.36363636363636365,0.5,
149,838605,0.38461538461538464,0.75,0.13333333333333333,0.0,0.0
150,838606,0.5,0.5,0.4,0.5,
151,838607,0.14285714285714285,0.2,0.16666666666666666,0.16666666666666666,
152,838621,0.23076923076923078,0.2,0.29411764705882354,0.0,0.0
153,838622,0.11764705882352941,0.0,0.06666666666666667,0.2,0.0
154,838623,0.25,0.0,0.13333333333333333,0.2,0.0
155,838625,0.375,0.2,0.15384615384615385,0.5,
156,838632,0.3,0.5,0.26666666666666666,0.4,0.0
157,838635,0.13636363636363635,0.16666666666666666,0.14285714285714285,0.0,0.0
158,838636,0.2857142857142857,0.25,0.14285714285714285,0.14285714285714285,
159,838639,0.2,0.0,0.4375,0.6,
160,838640,0.07142857142857142,0.0,0.125,0.0,0.0
161,838644,0.2727272727272727,0.4,0.3333333333333333,0.4,
162,838646,0.13636363636363635,0.16666666666666666,0.2,0.0,0.0
163,838651,0.2857142857142857,0.3333333333333333,1.0,1.0,
164,838652,0.1111111111111111,0.0,0.125,0.16666666666666666,1.0
165,838654,0.23076923076923078,0.0,0.25,0.3333333333333333,
166,838656,0.3333333333333333,0.6,0.3333333333333333,0.2,1.0
167,838657,0.4117647058823529,0.3333333333333333,0.46153846153846156,0.0,0.0
168,838658,0.0,0.0,0.16666666666666666,0.2,
169,838661,0.0,0.0,0.058823529411764705,0.14285714285714285,
170,838664,0.26666666666666666,0.2857142857142857,0.23529411764705882,0.2857142857142857,0.0
171,838665,0.10526315789473684,0.0,0.15384615384615385,0.16666666666666666,
172,838667,0.3125,0.5,0.11764705882352941,0.14285714285714285,0.0
173,838669,0.4444444444444444,0.42857142857142855,0.3157894736842105,0.16666666666666666,1.0
174,838671,0.0,0.0,0.38461538461538464,0.5,
175,838673,0.21428571428571427,0.0,0.0625,0.16666666666666666,0.0
176,838675,0.6666666666666666,0.6666666666666666,0.125,0.2,
177,838676,0.0,0.0,0.5,0.25,
178,838680,0.21428571428571427,0.0,0.18181818181818182,0.0,1.0
179,838681,0.16666666666666666,0.0,0.18181818181818182,0.14285714285714285,1.0
180,838684,0.058823529411764705,0.0,0.26666666666666666,0.6666666666666666,0.0
181,838686,0.35714285714285715,0.6,0.4117647058823529,0.5,0.0
182,838688,0.3333333333333333,0.5,0.125,0.125,
183,838689,0.13043478260869565,0.14285714285714285,0.11764705882352941,0.0,0.0
184,838692,0.25,0.25,0.21428571428571427,0.2857142857142857,
185,838694,0.29411764705882354,0.42857142857142855,0.35714285714285715,0.42857142857142855,
186,838695,0.14285714285714285,0.0,0.4666666666666667,0.2,
187,838696,0.42105263157894735,0.375,0.1111111111111111,0.125,0.0
188,838699,0.2,0.0,0.3,0.14285714285714285,0.0
189,838702,0.0,0.0,0.16666666666666666,0.0,
190,838707,0.17391304347826086,0.2857142857142857,0.21428571428571427,0.6,0.0
191,838709,0.26666666666666666,0.2,0.1111111111111111,0.16666666666666666,
192,838712,0.2,0.0,0.2222222222222222,0.2222222222222222,
193,838714,0.4,0.6666666666666666,0.17391304347826086,0.125,0.0
194,838716,0.38461538461538464,0.5714285714285714,0.16666666666666666,0.1111111111111111,
195,838718,0.16666666666666666,0.25,0.4444444444444444,0.5714285714285714,1.0
196,838478,0.25,,0.0,,
197,838481,0.2,,0.2,,0.0
198,838482,0.45454545454545453,,0.0,,0.0
199,838489,,,0.14285714285714285,,
200,838720,0.23529411764705882,0.2222222222222222,0.10526315789473684,0.1111111111111111,0.0
201,838721,0.3333333333333333,0.45454545454545453,0.25,0.2222222222222222,
202,838723,0.3,0.25,0.09523809523809523,0.18181818181818182,
203,838725,0.4,0.3333333333333333,0.2,0.25,
204,838727,0.2222222222222222,0.1111111111111111,0.21052631578947367,0.2222222222222222,1.0
205,838728,0.06666666666666667,0.0,0.2857142857142857,0.125,0.0
206,838732,0.0,0.0,0.0,0.0,
207,838734,0.15,0.125,0.16666666666666666,0.1111111111111111,1.0
208,838735,0.17647058823529413,0.0,0.09090909090909091,0.125,
209,838739,0.0,0.0,0.4,0.4444444444444444,
210,838741,0.375,0.5,0.3333333333333333,0.6666666666666666,
211,838742,0.16,0.2222222222222222,0.2727272727272727,0.1111111111111111,0.0
212,838748,0.2222222222222222,0.125,0.09090909090909091,0.16666666666666666,0.0
213,838750,0.2777777777777778,0.375,0.2,0.2,
214,838752,0.2727272727272727,0.2222222222222222,0.22727272727272727,0.25,
215,838753,0.38095238095238093,0.3,0.15384615384615385,0.0,
216,838754,0.1875,0.0,0.3333333333333333,0.375,
217,838755,0.0625,0.0,0.1,0.1,0.0
218,838759,0.20833333333333334,0.375,0.2608695652173913,0.1,1.0
219,838761,0.14285714285714285,0.1111111111111111,0.3125,0.7142857142857143,0.0
220,838764,0.1875,0.0,0.4375,0.16666666666666666,1.0
221,838765,0.3157894736842105,0.4444444444444444,0.42105263157894735,0.5,1.0
222,838767,0.0,0.0,0.05555555555555555,0.125,
223,838768,0.0,0.0,0.16,0.1,
224,838770,0.42857142857142855,0.625,0.1,0.14285714285714285,
225,838772,0.15384615384615385,0.2,0.5,0.5,
226,838773,0.2222222222222222,0.2,0.21052631578947367,0.2,
227,838774,0.25,0.16666666666666666,0.1875,0.2222222222222222,0.0
228,838775,0.125,0.0,0.21428571428571427,0.14285714285714285,
229,838777,0.4090909090909091,0.36363636363636365,0.375,0.4444444444444444,1.0
230,838778,0.23529411764705882,0.125,0.2727272727272727,0.2727272727272727,
231,838780,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.25,0.0
232,838783,0.5,0.5,0.0,0.0,
233,838789,0.2,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.0
234,838790,0.13636363636363635,0.1,0.3333333333333333,0.3333333333333333,
235,838791,0.2222222222222222,0.1,0.15384615384615385,0.09090909090909091,0.0
236,838792,0.3,0.4,0.29411764705882354,0.625,0.0
237,838794,0.25,0.25,0.38095238095238093,0.4,
238,838796,0.0,0.0,0.25,0.09090909090909091,
239,838798,0.4,0.5555555555555556,0.4117647058823529,0.14285714285714285,1.0
240,838800,0.14814814814814814,0.18181818181818182,0.10526315789473684,0.2222222222222222,0.0
241,838802,0.21052631578947367,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.0
242,838804,0.19230769230769232,0.3,0.2,0.2,0.0
243,838806,0.23529411764705882,0.14285714285714285,0.35294117647058826,0.4,
244,838808,0.2222222222222222,0.14285714285714285,0.25,0.25,
245,838809,0.21052631578947367,0.1,0.0,0.0,
246,838810,0.10526315789473684,0.1,0.26666666666666666,0.25,0.0
247,838814,0.4,0.4,0.2,0.18181818181818182,
248,838815,0.2,0.16666666666666666,0.3157894736842105,0.6,0.0
249,838817,0.13043478260869565,0.09090909090909091,0.24,0.08333333333333333,0.0
250,838819,0.21052631578947367,0.09090909090909091,0.1,0.2,0.0
251,838820,0.36363636363636365,0.5,0.3888888888888889,0.125,0.0
252,838822,0.391304347826087,0.3333333333333333,0.25,0.25,
253,838823,0.2,0.2,0.15384615384615385,0.2,
254,838825,0.0,0.0,0.19047619047619047,0.18181818181818182,
255,838827,0.35294117647058826,0.45454545454545453,0.09523809523809523,0.09090909090909091,
256,838829,0.18518518518518517,0.2727272727272727,0.3333333333333333,0.36363636363636365,0.0
257,838830,0.21052631578947367,0.1111111111111111,0.14814814814814814,0.08333333333333333,0.0
258,838832,0.25,0.2,0.23809523809523808,0.25,
259,838833,0.25,0.18181818181818182,0.34782608695652173,0.3333333333333333,1.0
260,838835,0.1,0.09090909090909091,0.25,0.25,
261,838838,0.375,0.5714285714285714,0.29411764705882354,0.3,
262,838839,0.5,0.5,0.3076923076923077,0.3076923076923077,
263,838841,0.14285714285714285,0.16666666666666666,0.17647058823529413,0.2,0.0
264,838853,0.19047619047619047,0.15384615384615385,0.3684210526315789,0.1111111111111111,1.0
265,838855,0.2,0.08333333333333333,0.16666666666666666,0.18181818181818182,
266,838857,0.34782608695652173,0.46153846153846156,0.08695652173913043,0.15384615384615385,0.0
267,838859,0.4166666666666667,0.38461538461538464,0.14285714285714285,0.18181818181818182,0.0
268,838862,0.23809523809523808,0.16666666666666666,0.4,0.4,
269,838864,0.07692307692307693,0.07692307692307693,0.09090909090909091,0.08333333333333333,
270,838491,0.11764705882352941,0.0,0.2,0.0,0.0
271,838493,0.3,,0.0,,0.0
272,838494,0.16666666666666666,,0.0,0.0,
273,838499,0.16666666666666666,,0.36363636363636365,,0.0
274,838500,0.125,,0.1875,0.0,0.0
275,838867,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.36363636363636365,1.0
276,838869,0.25,0.2,0.22727272727272727,0.23076923076923078,1.0
277,838872,0.09523809523809523,0.08333333333333333,0.3333333333333333,0.3076923076923077,
278,838873,0.4117647058823529,0.625,0.35714285714285715,0.35714285714285715,
279,838874,0.5714285714285714,0.5714285714285714,0.17857142857142858,0.15384615384615385,
280,838875,0.3333333333333333,0.4166666666666667,0.2,0.2,
281,838876,0.13793103448275862,0.15384615384615385,0.3684210526315789,0.4166666666666667,0.0
282,838503,0.2222222222222222,0.0,0.0,0.0,
283,838504,0.2727272727272727,1.0,0.125,0.0,0.0
284,838506,0.5,,0.38461538461538464,,
285,838508,0.4166666666666667,0.0,0.2727272727272727,1.0,0.0
286,838511,0.3333333333333333,,0.1,,
287,838515,0.0,0.0,0.2857142857142857,,
288,838517,0.1111111111111111,0.0,0.4166666666666667,1.0,0.0
289,838519,0.15384615384615385,0.0,0.18181818181818182,0.0,0.0
290,838521,,,0.0,0.0,
291,838523,0.2222222222222222,,0.0,0.0,
292,838524,0.2857142857142857,1.0,0.17647058823529413,0.0,0.0
293,838526,0.11764705882352941,0.0,0.1,1.0,0.0
294,838528,0.2,0.0,0.25,0.0,1.0
