,match_api_id,home_team_api_id,away_team_api_id,season,date,result_label,away_Defender_rating,home_Defender_rating,away_Attacker_rating,home_Attacker_rating,away_Goalkeeper_rating,home_Goalkeeper_rating,away_Midfielder_rating,home_Midfielder_rating
19077,1498077,9764,7844,2013/2014,2013-11-03 00:00:00,HOME_WIN,67.25,66.5,63.5,63.0,70.0,69.0,70.75,65.25
19079,1498079,10264,7841,2013/2014,2013-11-03 00:00:00,AWAY_WIN,68.0,73.0,0.0,78.0,69.0,75.0,69.16666666666667,73.4
19080,1498080,9768,10212,2013/2014,2013-11-02 00:00:00,HOME_WIN,66.0,73.75,71.33333333333333,76.5,68.0,81.0,65.25,75.0
19081,1748717,10215,9768,2014/2015,2014-08-16 00:00:00,DRAW,75.66666666666667,65.75,75.66666666666667,68.0,80.0,68.0,73.5,66.25
19082,1748718,158085,7842,2014/2015,2014-08-18 00:00:00,DRAW,70.25,66.0,74.0,67.0,75.0,70.0,69.6,71.0
19083,1748719,9772,6403,2014/2015,2014-08-17 00:00:00,HOME_WIN,64.75,77.5,71.0,76.0,69.0,76.0,69.25,79.66666666666667
19084,1748720,9764,7844,2014/2015,2014-08-16 00:00:00,AWAY_WIN,67.33333333333333,68.25,68.0,62.0,73.0,71.0,68.5,67.2
19086,1748722,6547,9807,2014/2015,2014-08-17 00:00:00,AWAY_WIN,65.33333333333333,65.33333333333333,68.0,65.0,68.0,66.0,67.2,65.83333333333333
19088,1748724,9773,10212,2014/2015,2014-08-15 00:00:00,HOME_WIN,67.0,77.0,66.5,82.0,69.0,75.0,68.25,75.2
19089,1748725,10214,8348,2014/2015,2014-08-17 00:00:00,AWAY_WIN,66.5,69.75,70.0,70.66666666666667,66.0,71.0,67.0,68.33333333333333
19090,1748798,158085,7844,2014/2015,2014-11-07 00:00:00,AWAY_WIN,65.2,66.66666666666667,68.0,68.5,65.0,70.0,69.0,69.8
19092,1748800,10264,9764,2014/2015,2014-11-08 00:00:00,HOME_WIN,68.0,70.2,64.0,75.0,72.0,69.0,67.0,75.0
19093,1748801,7842,9773,2014/2015,2014-11-09 00:00:00,DRAW,77.25,69.5,82.0,74.0,75.0,70.0,77.4,70.4
19094,1748802,7841,10215,2014/2015,2014-11-10 00:00:00,HOME_WIN,65.0,67.0,64.0,70.0,68.0,73.0,67.0,70.4
