,match_api_id,num_top_players_home,num_top_players_away,num_bottom_players_home,num_bottom_players_away
145,493017,0,0,1,0
153,493025,0,0,0,0
155,493027,0,0,0,1
162,493034,0,0,1,0
168,493040,0,0,0,0
173,493045,0,0,0,1
176,493048,0,0,0,1
189,493061,0,0,0,0
190,493062,0,0,0,0
217,493080,0,0,0,0
219,493082,0,0,0,0
226,493089,0,0,1,0
229,493092,0,0,0,0
231,493094,0,0,0,0
234,493097,0,0,0,0
240,493103,0,0,0,0
242,493105,0,0,0,0
243,493106,0,0,0,0
244,493107,0,0,0,0
308,665321,0,0,0,0
309,665322,0,0,0,0
310,665323,0,0,0,0
313,665411,0,0,0,0
317,665417,0,0,0,0
319,665421,0,0,0,0
320,665425,0,0,0,0
322,665427,0,0,0,0
323,665429,0,0,0,0
324,665430,0,0,0,0
326,665435,0,0,0,0
327,665438,0,0,0,0
330,665443,0,0,0,0
332,665445,0,0,0,0
335,665536,0,0,0,0
338,665541,0,0,0,0
339,665543,0,0,0,0
341,665548,0,0,0,0
344,665554,0,0,0,0
345,665556,0,0,0,0
349,665570,0,0,0,0
351,665574,0,0,0,0
352,665575,0,0,0,0
356,665586,0,0,0,0
359,665591,0,0,0,0
361,665596,0,0,0,0
362,665598,0,0,0,0
365,665603,0,0,0,0
366,665604,0,0,0,0
372,665619,0,0,0,0
376,665626,0,0,0,0
379,665632,0,0,0,0
380,665633,0,0,0,0
381,665634,0,0,0,0
383,665326,0,0,0,0
384,665327,0,0,0,0
386,665329,0,0,0,0
387,665330,0,0,0,0
388,665332,0,0,0,0
389,665333,0,0,0,0
390,665639,0,0,0,0
391,665641,0,0,0,0
395,665647,0,0,0,0
397,665653,0,0,0,0
399,665655,0,0,0,0
400,665657,0,0,0,0
401,665659,0,0,0,0
405,665666,0,0,0,0
410,665672,0,0,0,0
411,665674,0,0,0,0
412,665675,0,0,0,0
414,665679,0,0,0,0
415,665680,0,0,0,0
416,665681,0,0,0,0
418,665686,0,0,0,0
419,665687,0,0,0,0
421,665689,0,0,0,0
424,665695,0,0,0,0
425,665698,0,0,0,0
426,665699,0,0,0,0
427,665700,0,0,0,0
428,665702,0,0,0,0
429,665704,0,0,0,0
432,665712,0,0,0,0
434,665719,0,0,0,0
435,665721,0,0,0,0
438,665727,0,0,0,0
439,665728,0,0,0,0
440,665729,0,0,0,0
441,665730,0,0,0,0
444,665733,0,0,0,0
446,665737,0,0,0,0
448,665739,0,0,0,0
450,665741,0,0,0,0
454,665745,0,0,0,0
456,665749,0,0,0,0
458,665753,0,0,0,0
459,665757,0,0,0,0
460,665334,0,0,0,0
461,665335,0,0,0,0
463,665337,0,0,0,0
465,665340,0,0,0,0
468,665763,0,0,0,0
469,665767,0,0,0,0
471,665771,0,0,0,0
473,665775,0,0,0,0
474,665342,0,0,0,0
477,665345,0,0,0,0
478,665346,0,0,0,0
480,665349,0,0,0,0
481,665352,0,0,0,0
482,665353,0,0,0,0
483,665354,0,0,0,0
484,665357,0,0,0,0
487,665360,0,0,0,0
488,665361,0,0,0,0
489,665362,0,0,0,0
491,665364,0,0,0,0
493,665366,0,0,0,0
494,665368,0,0,0,0
